ChemicalID,ChemicalName,drug_index
C082887,PD 145065,5300
C055139,pemirolast,5320
D010567,Pertussis Vaccine,5380
D010624,Phenelzine,5404
D019800,Phenol,5414
D010695,Phlorhizin,5448
D010710,Phosphates,5451
C003140,phytofluene,5475
C117268,pimecrolimus,5495
C005569,pipamperone,5507
D010880,Piperidines,5513
D010971,Plastoquinone,5552
C477961,poliothrysoside,5573
D011068,Poly G,5586
C489337,potassium oxonate,5621
C028797,pralidoxime,5631
D011339,Probenecid,5667
D011352,Procyclidine,5676
C083295,prunetin,5741
D011729,Pyridostigmine Bromide,5783
C009131,pyrimidin-2-one beta-ribofuranoside,5792
D052999,Quinazolinones,5833
C544967,quizartinib,5852
C412383,R 121919,5857
C582845,R-7050,5859
D020849,Raloxifene Hydrochloride,5871
C105328,RG 13965,5928
C114163,Ro 4-6790,5972
C053519,Rosen's T-10 protocol,5996
C109640,sabcomeline,6049
C092797,safinamide,6055
C541923,sandostatinLAR,6076
D000077149,Sevoflurane,6201
C045597,SK&F 100330-A,6250
C545823,"soybean oil, phospholipid emulsion",6327
C085215,SR 140333,6354
D013440,Sulfides,6420
C561917,"tablysin-15, Tabanus yao",6463
D016559,Tacrolimus,6467
D000077712,Telbivudine,6518
D013830,Thiadiazoles,6611
C040872,TMF protocol,6689
D014266,Trientine,6786
D014280,Triglycerides,6791
C009560,trigonelline,6792
C514931,UA 0713,6857
D014508,Urea,6877
D000077597,Vildagliptin,6968
D014812,Vitamin K,6991
C102817,voglibose,7004
C462299,xaliproden,7042
C064876,YM 16151-1,7083
D015032,Zinc,7121
D019287,Zinc Sulfate,7129
