DiseaseID,DiseaseName,disease_index
MESH:D020734,Parkinsonian Disorders,152
MESH:D009374,"Neoplasms, Experimental",153
MESH:D011471,Prostatic Neoplasms,154
MESH:D001851,"Bone Diseases, Metabolic",155
MESH:D004714,Endometrial Hyperplasia,156
MESH:D016889,Endometrial Neoplasms,157
MESH:D005327,Fetal Resorption,158
MESH:D019584,Hot Flashes,159
MESH:D007247,"Infertility, Female",160
MESH:D009376,"Neoplasms, Hormone-Dependent",161
MESH:D007744,Obstetric Labor Complications,162
MESH:D007752,"Obstetric Labor, Premature",163
MESH:D015663,"Osteoporosis, Postmenopausal",164
MESH:D016471,Ovarian Hyperstimulation Syndrome,165
MESH:D010922,Placenta Diseases,166
MESH:D011230,Precancerous Conditions,167
MESH:D047928,Premature Birth,168
MESH:D013927,Thrombosis,169
MESH:D002581,Uterine Cervical Incompetence,170
MESH:D014592,Uterine Hemorrhage,171
MESH:D001778,Blood Coagulation Disorders,172
MESH:D019446,Endotoxemia,173
MESH:D009102,Multiple Organ Failure,174
MESH:D029424,"Pulmonary Disease, Chronic Obstructive",175
MESH:D006331,Heart Diseases,176
MESH:D006940,Hyperemia,177
MESH:D006976,"Hypertension, Pulmonary",178
MESH:D017380,"Hypertrophy, Right Ventricular",179
MESH:D009021,Morphine Dependence,180
MESH:D001930,Brain Injuries,181
MESH:D011565,Psoriasis,182
MESH:D012175,Retinoblastoma,183
MESH:D006470,Hemorrhage,184
MESH:D047508,Massive Hepatic Necrosis,185
MESH:D019954,Neurobehavioral Manifestations,186
MESH:D015837,Vestibular Diseases,187
MESH:D009362,Neoplasm Metastasis,188
MESH:D012772,"Shock, Septic",189
MESH:D006086,Graft vs Host Disease,190
MESH:D006937,Hypercholesterolemia,191
MESH:D015228,Hypertriglyceridemia,192
MESH:D008180,"Lupus Erythematosus, Systemic",193
MESH:D009393,Nephritis,194
MESH:D003928,Diabetic Nephropathies,195
MESH:D014202,Tremor,196
MESH:D003876,"Dermatitis, Atopic",197
MESH:D006505,Hepatitis,198
MESH:D013610,Tachycardia,199
MESH:D020258,Neurotoxicity Syndromes,200
MESH:D007077,Ileal Diseases,201
MESH:D007248,"Infertility, Male",202
MESH:D007579,Jejunal Diseases,203
MESH:D020233,"Gait Disorders, Neurologic",204
MESH:D018476,Hypokinesia,205
MESH:D020267,MPTP Poisoning,206
MESH:D008881,Migraine Disorders,207
MESH:D010195,Pancreatitis,208
MESH:D018352,Coronavirus Infections,209
MESH:D007251,"Influenza, Human",210
MESH:D059445,Anhedonia,211
MESH:D012559,Schizophrenia,212
MESH:D054082,Lissencephaly,213
MESH:D065886,Neurodevelopmental Disorders,214
MESH:D015179,Colorectal Neoplasms,215
MESH:D000086382,COVID-19,216
MESH:D012131,Respiratory Insufficiency,217
MESH:D010523,Peripheral Nervous System Diseases,218
MESH:D000072660,Teratozoospermia,219
MESH:D013733,Testicular Diseases,220
MESH:D003371,Cough,221
MESH:D003643,Death,222
MESH:D017449,"Dermatitis, Allergic Contact",223
MESH:D053201,"Urinary Bladder, Overactive",224
MESH:D046152,Gastrointestinal Stromal Tumors,225
MESH:D016393,"Lymphoma, B-Cell",226
MESH:D008224,"Lymphoma, Follicular",227
MESH:D012208,Rhabdomyosarcoma,228
MESH:D020521,Stroke,229
MESH:D003072,Cognition Disorders,230
MESH:D001927,Brain Diseases,231
MESH:D006949,Hyperlipidemias,232
MESH:D065626,Non-alcoholic Fatty Liver Disease,233
MESH:D001919,Bradycardia,234
MESH:D006984,Hypertrophy,235
MESH:D014555,Urination Disorders,236
MESH:D015473,"Leukemia, Promyelocytic, Acute",237
MESH:D013964,Thyroid Neoplasms,238
MESH:D009303,Nasopharyngeal Neoplasms,239
MESH:D003924,"Diabetes Mellitus, Type 2",240
MESH:D050171,Dyslipidemias,241
MESH:D007898,"Leishmaniasis, Visceral",242
MESH:D001749,Urinary Bladder Neoplasms,243
MESH:D048550,Hepatic Insufficiency,244
MESH:D007410,Intestinal Diseases,245
MESH:D012771,"Shock, Hemorrhagic",246
MESH:D007511,Ischemia,247
MESH:D001289,Attention Deficit Disorder with Hyperactivity,248
MESH:D020820,Dyskinesias,249
MESH:D010409,Penile Diseases,250
MESH:D016908,Gram-Positive Bacterial Infections,251
MESH:D028361,Mitochondrial Diseases,252
MESH:D009389,"Neovascularization, Pathologic",253
MESH:D013119,Spinal Cord Injuries,254
MESH:D048909,Diabetes Complications,255
MESH:D001855,Bone Marrow Diseases,256
MESH:D034381,Hearing Loss,257
MESH:D019957,Motor Skills Disorders,258
MESH:D007683,"Kidney Tubular Necrosis, Acute",259
MESH:D014549,Urinary Incontinence,260
MESH:D008133,Long QT Syndrome,261
MESH:D012080,Chronic Kidney Disease-Mineral and Bone Disorder,262
MESH:D006934,Hypercalcemia,263
MESH:D053565,Hypercalciuria,264
MESH:D002779,Cholestasis,265
MESH:D010998,Pleurisy,266
MESH:D058226,"Plaque, Atherosclerotic",267
MESH:D009976,Orthomyxoviridae Infections,268
MESH:D001168,Arthritis,269
MESH:D007003,Hypoglycemia,270
MESH:D000690,Amyotrophic Lateral Sclerosis,271
MESH:D001201,Ascites,272
MESH:D005910,Glioma,273
MESH:D008413,Mastitis,274
MESH:D009062,Mouth Neoplasms,275
MESH:D012516,Osteosarcoma,276
MESH:D015209,"Cholangitis, Sclerosing",277
MESH:D002318,Cardiovascular Diseases,278
MESH:D003877,"Dermatitis, Contact",279
MESH:D017495,Hyperpigmentation,280
MESH:D011833,"Radiation Injuries, Experimental",281
MESH:D011778,Q Fever,282
MESH:D050197,Atherosclerosis,283
MESH:D018188,Cardiovirus Infections,284
MESH:D018357,Respiratory Syncytial Virus Infections,285
MESH:D002544,Cerebral Infarction,286
MESH:D004485,Eczema,287
MESH:D008171,Lung Diseases,288
MESH:D015658,HIV Infections,289
MESH:D019283,"Pancreatitis, Acute Necrotizing",290
MESH:D012878,Skin Neoplasms,291
MESH:D009461,Neurologic Manifestations,292
MESH:D002180,"Candidiasis, Oral",293
MESH:D002471,"Cell Transformation, Neoplastic",294
MESH:D019694,"Hepatitis B, Chronic",295
MESH:C563477,"Nephrolithiasis, Calcium Oxalate",296
MESH:D058625,End Stage Liver Disease,297
MESH:D006083,"Graft Occlusion, Vascular",298
MESH:D006526,Hepatitis C,299
MESH:D015459,"Leukemia-Lymphoma, Adult T-Cell",300
MESH:D008175,Lung Neoplasms,301
MESH:D006042,Goiter,302
MESH:D011125,Adenomatous Polyposis Coli,303
MESH:D001342,Autonomic Nervous System Diseases,304
MESH:D006330,"Heart Defects, Congenital",305
MESH:D006335,Heart Injuries,306
MESH:D010490,Pericardial Effusion,307
MESH:D049188,Prenatal Injuries,308
MESH:D018771,Arthralgia,309
MESH:D006962,"Hyperparathyroidism, Secondary",310
MESH:D014511,Uremia,311
MESH:D010049,Ovarian Diseases,312
MESH:D019457,Chromosome Breakage,313
MESH:D011225,Pre-Eclampsia,314
MESH:D003556,Cystitis,315
MESH:D020767,Intracranial Thrombosis,316
MESH:D008546,"Melanoma, Experimental",317
MESH:D009436,Neural Tube Defects,318
MESH:D001763,Blepharoptosis,319
MESH:D003128,Coma,320
MESH:D004915,"Leukemia, Erythroblastic, Acute",321
MESH:D016769,Embolism and Thrombosis,322
MESH:D014839,Vomiting,323
MESH:D000236,Adenoma,324
MESH:D009845,Oligospermia,325
MESH:D007172,Erectile Dysfunction,326
MESH:D013035,Spasm,327
MESH:D001249,Asthma,328
MESH:D003384,Coxsackievirus Infections,329
MESH:D014355,Chagas Disease,330
MESH:D016773,"Leishmaniasis, Cutaneous",331
MESH:D014123,Toxoplasmosis,332
MESH:D011618,Psychotic Disorders,333
MESH:D019966,Substance-Related Disorders,334
MESH:D001259,Ataxia,335
MESH:D003967,Diarrhea,336
MESH:D009128,Muscle Spasticity,337
MESH:D000402,Airway Obstruction,338
MESH:D009798,Ocular Hypertension,339
MESH:D018827,"Carcinoma, Lewis Lung",340
MESH:D006946,Hyperinsulinism,341
MESH:D000707,Anaphylaxis,342
MESH:C536875,Arrest of spermatogenesis,343
MESH:D058065,Diabetic Cardiomyopathies,344
MESH:D003875,Drug Eruptions,345
MESH:D004719,Endomyocardial Fibrosis,346
MESH:D018487,"Ventricular Dysfunction, Left",347
MESH:D007951,"Leukemia, Myeloid",348
MESH:D005764,Gastroesophageal Reflux,349
MESH:D007417,Intestinal Polyps,350
MESH:D008108,"Liver Diseases, Alcoholic",351
MESH:D012513,"Sarcoma, Experimental",352
MESH:D054218,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,353
MESH:D000077195,Squamous Cell Carcinoma of Head and Neck,354
MESH:D001768,Blister,355
MESH:D002057,"Burns, Chemical",356
MESH:D015529,Choledochal Cyst,357
MESH:D010003,Osteoarthritis,358
MESH:D000077192,Adenocarcinoma of Lung,359
MESH:D003930,Diabetic Retinopathy,360
MESH:D020270,Alcohol Withdrawal Seizures,361
MESH:D004833,"Epilepsy, Temporal Lobe",362
MESH:D018316,Gliosarcoma,363
MESH:D008527,Medulloblastoma,364
MESH:D001157,Arterial Occlusive Diseases,365
MESH:D008107,Liver Diseases,366
MESH:D001284,Atrophy,367
MESH:D004938,Esophageal Neoplasms,368
MESH:D016535,Bronchial Hyperreactivity,369
MESH:D007079,Ileitis,370
MESH:D033461,Hyperuricemia,371
MESH:D012282,Rickettsia Infections,372
MESH:D017282,Tick-Borne Diseases,373
MESH:D017180,"Tachycardia, Ventricular",374
MESH:D018879,Ventricular Premature Complexes,375
MESH:D000860,Hypoxia,376
MESH:D012555,Schistosomiasis mansoni,377
MESH:D006317,"Hearing Loss, Noise-Induced",378
MESH:D000070642,"Brain Injuries, Traumatic",379
MESH:D018883,Heat Stroke,380
MESH:D014950,"Wounds, Penetrating",381
MESH:D004832,"Epilepsy, Absence",382
MESH:D017109,"Akathisia, Drug-Induced",383
MESH:D005911,Gliosis,384
MESH:D001010,"Anxiety, Separation",385
MESH:D019956,Stereotypic Movement Disorder,386
MESH:D064129,"Prostatic Neoplasms, Castration-Resistant",387
MESH:D003057,Cockayne Syndrome,388
MESH:D005832,"Genital Diseases, Male",389
MESH:D007027,Hypothalamic Diseases,390
MESH:D050177,Overweight,391
MESH:D014591,Uterine Diseases,392
MESH:D009447,Neuroblastoma,393
MESH:D010235,Paraganglioma,394
MESH:D004646,Emphysema,395
MESH:D005497,Follicular Cyst,396
MESH:D010302,"Parkinson Disease, Secondary",397
MESH:D013274,Stomach Neoplasms,398
MESH:D063646,Carcinogenesis,399
MESH:D024821,Metabolic Syndrome,400
MESH:D045743,"Scleroderma, Diffuse",401
MESH:D012595,"Scleroderma, Systemic",402
MESH:D007636,Keratoacanthoma,403
MESH:D010212,Papilloma,404
MESH:D014029,Tobacco Use Disorder,405
MESH:D009400,Nephrosclerosis,406
MESH:D051436,"Renal Insufficiency, Chronic",407
MESH:D020257,Ventricular Remodeling,408
MESH:D000152,Acne Vulgaris,409
MESH:D001986,Bronchial Spasm,410
MESH:D006967,Hypersensitivity,411
MESH:D012220,Rhinitis,412
MESH:D014581,Urticaria,413
MESH:D000083083,Laminopathies,414
MESH:D011371,Progeria,415
MESH:D002292,"Carcinoma, Renal Cell",416
MESH:D007945,"Leukemia, Lymphoid",417
MESH:D011141,Polyuria,418
MESH:D014456,Ulcer,419
MESH:D002386,Cataract,420
MESH:D006417,Hematuria,421
MESH:D009103,Multiple Sclerosis,422
MESH:D009135,Muscular Diseases,423
MESH:D019636,Neurodegenerative Diseases,424
MESH:D004802,Eosinophilia,425
MESH:D055752,Small Cell Lung Carcinoma,426
MESH:D001847,Bone Diseases,427
MESH:D002100,Cachexia,428
MESH:D058739,Aberrant Crypt Foci,429
MESH:D010182,Pancreatic Diseases,430
MESH:D005705,Gallbladder Diseases,431
MESH:D003093,"Colitis, Ulcerative",432
MESH:D012008,Recurrence,433
