DiseaseID,DiseaseName,disease_index
MESH:D020152,Antithrombin III Deficiency,1970
MESH:D004881,Ergotism,1990
MESH:D009196,Myeloproliferative Disorders,1993
MESH:D001913,Bowen's Disease,1998
MESH:D002805,Chondrocalcinosis,2006
MESH:D008831,Microcephaly,2016
MESH:D014385,"Tuberculosis, Gastrointestinal",2021
MESH:D000219,Adams-Stokes Syndrome,2023
MESH:D008992,Monkey Diseases,2034
MESH:D013319,"Strongyle Infections, Equine",2036
MESH:D009084,Mucopolysaccharidosis III,2051
MESH:D050798,SUNCT Syndrome,2053
MESH:D001471,Barrett Esophagus,2054
MESH:D012078,Renal Artery Obstruction,2091
MESH:D000081029,Pulmonary Arterial Hypertension,2099
MESH:D044342,Malnutrition,2106
MESH:D015362,Child Nutrition Disorders,2108
MESH:D004685,"Encephalomyelitis, Venezuelan Equine",2116
MESH:D020178,"Sleep Disorders, Circadian Rhythm",2123
MESH:D018196,"Carcinoma, Adenosquamous",2154
MESH:D004749,Entamoebiasis,2174
MESH:D009059,Mouth Diseases,2177
MESH:D000795,Fabry Disease,2182
MESH:D003318,Corneal Opacity,2193
MESH:D013705,Temporomandibular Joint Disorders,2200
MESH:D065666,Mesenteric Ischemia,2215
MESH:D001044,Aphonia,2236
MESH:D020293,"Vasculitis, Central Nervous System",2239
MESH:D046349,"Coproporphyria, Hereditary",2247
MESH:D012010,"Red-Cell Aplasia, Pure",2256
MESH:D013651,Taste Disorders,2262
MESH:D013581,Synovial Cyst,2265
MESH:D014256,Trichotillomania,2269
MESH:C536404,"Nephrotic syndrome, idiopathic, steroid-resistant",2272
MESH:D012163,Retinal Detachment,2273
MESH:D007871,Leg Ulcer,2283
MESH:D013121,Spinal Curvatures,2304
MESH:C536827,Glomus vagale tumors,2312
MESH:D012552,Schistosomiasis,2318
MESH:D015868,Pars Planitis,2323
MESH:D011693,Purpura,2324
MESH:D001039,"Aphasia, Broca",2339
MESH:D018240,Endodermal Sinus Tumor,2342
MESH:D012600,Scoliosis,2370
MESH:D006479,"Hemorrhagic Fever, Crimean",2379
MESH:D006480,Hemorrhagic Fever with Renal Syndrome,2380
MESH:D014646,Varicocele,2404
MESH:D007340,Insulinoma,2424
MESH:D018567,"Breast Neoplasms, Male",2434
MESH:D005316,Fetal Distress,2443
MESH:D051261,"Granulomatosis, Orofacial",2453
MESH:D054747,Histiocytic Sarcoma,2454
MESH:D018318,"Neurofibroma, Plexiform",2455
MESH:D001602,Beriberi,2458
MESH:D004480,Ectromelia,2461
MESH:D018242,"Neuroectodermal Tumors, Primitive",2463
MESH:D001762,Blepharitis,2469
MESH:D002822,Choriocarcinoma,2476
